"STANDARDNA PORABNIŠKA SKUPINA (LETNA PORABA)","ENOTA","CENA","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4"
"I4 (100 000 do 1 000 000 GJ)","EUR / GJ","Z vsemi davki",15.8291,16.4256,15.9571,15.0714,13.6591,13.7342,13.8403,13.4576,12.5092,12.2001,12.2569,12.1922,11.4063,10.6041,10.4189,9.9855,9.7982,8.4658,8.1728,8.4356,8.7759,8.3132,8.2653,8.4549,8.5024,8.6644,9.0639,9.5764,9.8439,8.7568,8.6639,9.0434,8.1191,7.9362,7.9903,8.3266,8.1509,9.1627,11.2376,17.4077
"I4 (100 000 do 1 000 000 GJ)","EUR/Sm3","Brez davkov",0.4522,0.4710,0.4562,0.4283,0.3802,0.3826,0.3788,0.3669,0.3375,0.3264,0.3246,0.3226,0.3163,0.3032,0.2974,0.2814,0.2719,0.2345,0.2269,0.2342,0.2408,0.2280,0.2276,0.2335,0.2347,0.2402,0.2528,0.2691,0.2758,0.2426,0.2394,0.2522,0.2254,0.2150,0.2156,0.2255,0.2180,0.2468,0.3122,0.5048
"I4 (100 000 do 1 000 000 GJ)","EUR/Sm3","Brez DDV",0.4990,0.5178,0.5030,0.4751,0.4306,0.4330,0.4291,0.4173,0.3879,0.3783,0.3801,0.3780,0.3537,0.3288,0.3231,0.3096,0.3038,0.2625,0.2534,0.2616,0.2721,0.2578,0.2563,0.2622,0.2636,0.2687,0.2810,0.2969,0.3052,0.2715,0.2686,0.2804,0.2518,0.2461,0.2478,0.2582,0.2527,0.2841,0.3484,0.5398
"I4 (100 000 do 1 000 000 GJ)","EUR/Sm3","Z vsemi davki",0.5988,0.6214,0.6036,0.5701,0.5167,0.5195,0.5236,0.5091,0.4732,0.4615,0.4637,0.4612,0.4315,0.4011,0.3941,0.3777,0.3707,0.3203,0.3092,0.3191,0.3320,0.3145,0.3127,0.3198,0.3216,0.3278,0.3429,0.3623,0.3724,0.3313,0.3277,0.3421,0.3071,0.3002,0.3023,0.3150,0.3083,0.3466,0.4251,0.6585
"I4 (100 000 do 1 000 000 GJ)","EUR/kWh","Brez davkov",0.0430,0.0448,0.0434,0.0408,0.0362,0.0364,0.0360,0.0349,0.0321,0.0311,0.0309,0.0307,0.0301,0.0289,0.0283,0.0268,0.0259,0.0223,0.0216,0.0223,0.0229,0.0217,0.0217,0.0222,0.0223,0.0229,0.0241,0.0256,0.0262,0.0231,0.0228,0.0240,0.0214,0.0205,0.0205,0.0215,0.0208,0.0235,0.0297,0.0480
"I4 (100 000 do 1 000 000 GJ)","EUR/kWh","Brez DDV",0.0475,0.0493,0.0479,0.0452,0.0410,0.0412,0.0408,0.0397,0.0369,0.0360,0.0362,0.0360,0.0337,0.0313,0.0307,0.0295,0.0289,0.0250,0.0241,0.0249,0.0259,0.0245,0.0244,0.0249,0.0251,0.0256,0.0267,0.0283,0.0290,0.0258,0.0256,0.0267,0.0240,0.0234,0.0236,0.0246,0.0241,0.0270,0.0332,0.0514
"I4 (100 000 do 1 000 000 GJ)","EUR/kWh","Z vsemi davki",0.0570,0.0591,0.0574,0.0543,0.0492,0.0494,0.0498,0.0484,0.0450,0.0439,0.0441,0.0439,0.0411,0.0382,0.0375,0.0359,0.0353,0.0305,0.0294,0.0304,0.0316,0.0299,0.0298,0.0304,0.0306,0.0312,0.0326,0.0345,0.0354,0.0315,0.0312,0.0326,0.0292,0.0286,0.0288,0.0300,0.0293,0.0330,0.0405,0.0627
"I5 (1 000 000 do <=4 000 000 GJ)","EUR / GJ","Brez davkov",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"I5 (1 000 000 do <=4 000 000 GJ)","EUR / GJ","Brez DDV",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"I5 (1 000 000 do <=4 000 000 GJ)","EUR / GJ","Z vsemi davki",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"I5 (1 000 000 do <=4 000 000 GJ)","EUR/Sm3","Brez davkov",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"I5 (1 000 000 do <=4 000 000 GJ)","EUR/Sm3","Brez DDV",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"I5 (1 000 000 do <=4 000 000 GJ)","EUR/Sm3","Z vsemi davki",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"I5 (1 000 000 do <=4 000 000 GJ)","EUR/kWh","Brez davkov",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"I5 (1 000 000 do <=4 000 000 GJ)","EUR/kWh","Brez DDV",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"I5 (1 000 000 do <=4 000 000 GJ)","EUR/kWh","Z vsemi davki",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Slovenija","EUR / GJ","Brez davkov",12.9774,13.2109,12.4649,12.0383,11.1578,10.8632,10.5604,10.4262,9.7475,9.5579,9.0816,8.8622,8.7840,8.6966,8.4004,8.3728,7.9519,6.6672,6.4136,7.0625,6.9968,6.5150,6.3990,6.9182,7.1264,6.9732,7.3057,8.0660,8.2607,7.1240,6.8823,7.4992,6.9535,6.4253,6.2768,6.8330,6.6189,6.9798,8.3002,12.5303
"Slovenija","EUR / GJ","Brez DDV",14.2146,14.4480,13.7020,13.2755,12.4891,12.1945,11.8916,11.7575,11.0788,10.9309,10.5483,10.3288,9.8983,9.5572,9.2376,9.3947,9.0014,7.5184,7.1918,7.9500,7.9771,7.4131,7.2240,7.8926,8.0925,7.8056,8.1402,9.0084,9.3217,8.0807,7.7810,8.5064,7.9233,7.3450,7.1957,7.8690,7.7141,8.0095,9.2833,13.6281
"Slovenija","EUR / GJ","Z vsemi davki",17.0575,17.3377,16.4424,15.9306,14.9869,14.6334,14.5078,14.3441,13.5161,13.3357,12.8689,12.6012,12.0759,11.6598,11.2699,11.4616,10.9818,9.1724,8.7740,9.6990,9.7320,9.0440,8.8133,9.6289,9.8729,9.5229,9.9310,10.9902,11.3725,9.8585,9.4928,10.3778,9.6664,8.9609,8.7788,9.6002,9.4111,9.7716,11.3257,16.6263
"Slovenija","EUR/Sm3","Brez davkov",0.4909,0.4998,0.4715,0.4554,0.4221,0.4109,0.3995,0.3944,0.3687,0.3616,0.3435,0.3352,0.3323,0.3290,0.3178,0.3167,0.3008,0.2522,0.2426,0.2672,0.2647,0.2465,0.2421,0.2617,0.2696,0.2638,0.2764,0.3051,0.3125,0.2695,0.2604,0.2837,0.2630,0.2431,0.2374,0.2585,0.2504,0.2640,0.3140,0.4740
"Slovenija","EUR/Sm3","Brez DDV",0.5377,0.5466,0.5183,0.5022,0.4724,0.4613,0.4498,0.4448,0.4191,0.4135,0.3990,0.3907,0.3744,0.3615,0.3494,0.3554,0.3405,0.2844,0.2721,0.3007,0.3018,0.2804,0.2733,0.2986,0.3061,0.2953,0.3079,0.3408,0.3526,0.3057,0.2943,0.3218,0.2997,0.2779,0.2722,0.2977,0.2918,0.3030,0.3512,0.5155
"Slovenija","EUR/Sm3","Z vsemi davki",0.6453,0.6559,0.6220,0.6026,0.5669,0.5536,0.5488,0.5426,0.5113,0.5045,0.4868,0.4767,0.4568,0.4411,0.4263,0.4336,0.4154,0.3470,0.3319,0.3669,0.3682,0.3421,0.3334,0.3643,0.3735,0.3602,0.3757,0.4157,0.4302,0.3729,0.3591,0.3926,0.3657,0.3390,0.3321,0.3632,0.3560,0.3696,0.4284,0.6290
"Slovenija","EUR/kWh","Brez davkov",0.0467,0.0476,0.0449,0.0433,0.0402,0.0391,0.0380,0.0375,0.0351,0.0344,0.0327,0.0319,0.0316,0.0313,0.0302,0.0301,0.0286,0.0240,0.0231,0.0254,0.0252,0.0235,0.0230,0.0249,0.0257,0.0251,0.0263,0.0290,0.0297,0.0256,0.0248,0.0270,0.0250,0.0231,0.0226,0.0246,0.0238,0.0251,0.0299,0.0451
"Slovenija","EUR/kWh","Brez DDV",0.0512,0.0520,0.0493,0.0478,0.0450,0.0439,0.0428,0.0423,0.0399,0.0394,0.0380,0.0372,0.0356,0.0344,0.0333,0.0338,0.0324,0.0271,0.0259,0.0286,0.0287,0.0267,0.0260,0.0284,0.0291,0.0281,0.0293,0.0324,0.0336,0.0291,0.0280,0.0306,0.0285,0.0264,0.0259,0.0283,0.0278,0.0288,0.0334,0.0491
"Slovenija","EUR/kWh","Z vsemi davki",0.0614,0.0624,0.0592,0.0574,0.0540,0.0527,0.0522,0.0516,0.0487,0.0480,0.0463,0.0454,0.0435,0.0420,0.0406,0.0413,0.0395,0.0330,0.0316,0.0349,0.0350,0.0326,0.0317,0.0347,0.0355,0.0343,0.0358,0.0396,0.0409,0.0355,0.0342,0.0374,0.0348,0.0323,0.0316,0.0346,0.0339,0.0352,0.0408,0.0599
