"OSKRBA IN PORABA","2000 Trdna goriva","2000 Surova nafta","2000 Naftni proizvodi","2000 Zemeljski plin","2000 Nuklearna energija","2000 Hidro energija","2000 Geoterm., sončna itd.","2000 Obnovljivi viri in odpadki","2000 Električna energija","2000 Toplota","2000 Energetski viri-SKUPAJ","2001 Trdna goriva","2001 Surova nafta","2001 Naftni proizvodi","2001 Zemeljski plin","2001 Nuklearna energija","2001 Hidro energija","2001 Geoterm., sončna itd.","2001 Obnovljivi viri in odpadki","2001 Električna energija","2001 Toplota","2001 Energetski viri-SKUPAJ","2002 Trdna goriva","2002 Surova nafta","2002 Naftni proizvodi","2002 Zemeljski plin","2002 Nuklearna energija","2002 Hidro energija","2002 Geoterm., sončna itd.","2002 Obnovljivi viri in odpadki","2002 Električna energija","2002 Toplota","2002 Energetski viri-SKUPAJ","2003 Trdna goriva","2003 Surova nafta","2003 Naftni proizvodi","2003 Zemeljski plin","2003 Nuklearna energija","2003 Hidro energija","2003 Geoterm., sončna itd.","2003 Obnovljivi viri in odpadki","2003 Električna energija","2003 Toplota","2003 Energetski viri-SKUPAJ","2004 Trdna goriva","2004 Surova nafta","2004 Naftni proizvodi","2004 Zemeljski plin","2004 Nuklearna energija","2004 Hidro energija","2004 Geoterm., sončna itd.","2004 Obnovljivi viri in odpadki","2004 Električna energija","2004 Toplota","2004 Energetski viri-SKUPAJ","2005 Trdna goriva","2005 Surova nafta","2005 Naftni proizvodi","2005 Zemeljski plin","2005 Nuklearna energija","2005 Hidro energija","2005 Geoterm., sončna itd.","2005 Obnovljivi viri in odpadki","2005 Električna energija","2005 Toplota","2005 Energetski viri-SKUPAJ","2006 Trdna goriva","2006 Surova nafta","2006 Naftni proizvodi","2006 Zemeljski plin","2006 Nuklearna energija","2006 Hidro energija","2006 Geoterm., sončna itd.","2006 Obnovljivi viri in odpadki","2006 Električna energija","2006 Toplota","2006 Energetski viri-SKUPAJ","2007 Trdna goriva","2007 Surova nafta","2007 Naftni proizvodi","2007 Zemeljski plin","2007 Nuklearna energija","2007 Hidro energija","2007 Geoterm., sončna itd.","2007 Obnovljivi viri in odpadki","2007 Električna energija","2007 Toplota","2007 Energetski viri-SKUPAJ","2008 Trdna goriva","2008 Surova nafta","2008 Naftni proizvodi","2008 Zemeljski plin","2008 Nuklearna energija","2008 Hidro energija","2008 Geoterm., sončna itd.","2008 Obnovljivi viri in odpadki","2008 Električna energija","2008 Toplota","2008 Energetski viri-SKUPAJ","2009 Trdna goriva","2009 Surova nafta","2009 Naftni proizvodi","2009 Zemeljski plin","2009 Nuklearna energija","2009 Hidro energija","2009 Geoterm., sončna itd.","2009 Obnovljivi viri in odpadki","2009 Električna energija","2009 Toplota","2009 Energetski viri-SKUPAJ","2010 Trdna goriva","2010 Surova nafta","2010 Naftni proizvodi","2010 Zemeljski plin","2010 Nuklearna energija","2010 Hidro energija","2010 Geoterm., sončna itd.","2010 Obnovljivi viri in odpadki","2010 Električna energija","2010 Toplota","2010 Energetski viri-SKUPAJ","2011 Trdna goriva","2011 Surova nafta","2011 Naftni proizvodi","2011 Zemeljski plin","2011 Nuklearna energija","2011 Hidro energija","2011 Geoterm., sončna itd.","2011 Obnovljivi viri in odpadki","2011 Električna energija","2011 Toplota","2011 Energetski viri-SKUPAJ","2012 Trdna goriva","2012 Surova nafta","2012 Naftni proizvodi","2012 Zemeljski plin","2012 Nuklearna energija","2012 Hidro energija","2012 Geoterm., sončna itd.","2012 Obnovljivi viri in odpadki","2012 Električna energija","2012 Toplota","2012 Energetski viri-SKUPAJ","2013 Trdna goriva","2013 Surova nafta","2013 Naftni proizvodi","2013 Zemeljski plin","2013 Nuklearna energija","2013 Hidro energija","2013 Geoterm., sončna itd.","2013 Obnovljivi viri in odpadki","2013 Električna energija","2013 Toplota","2013 Energetski viri-SKUPAJ","2014 Trdna goriva","2014 Surova nafta","2014 Naftni proizvodi","2014 Zemeljski plin","2014 Nuklearna energija","2014 Hidro energija","2014 Geoterm., sončna itd.","2014 Obnovljivi viri in odpadki","2014 Električna energija","2014 Toplota","2014 Energetski viri-SKUPAJ","2015 Trdna goriva","2015 Surova nafta","2015 Naftni proizvodi","2015 Zemeljski plin","2015 Nuklearna energija","2015 Hidro energija","2015 Geoterm., sončna itd.","2015 Obnovljivi viri in odpadki","2015 Električna energija","2015 Toplota","2015 Energetski viri-SKUPAJ","2016 Trdna goriva","2016 Surova nafta","2016 Naftni proizvodi","2016 Zemeljski plin","2016 Nuklearna energija","2016 Hidro energija","2016 Geoterm., sončna itd.","2016 Obnovljivi viri in odpadki","2016 Električna energija","2016 Toplota","2016 Energetski viri-SKUPAJ","2017 Trdna goriva","2017 Surova nafta","2017 Naftni proizvodi","2017 Zemeljski plin","2017 Nuklearna energija","2017 Hidro energija","2017 Geoterm., sončna itd.","2017 Obnovljivi viri in odpadki","2017 Električna energija","2017 Toplota","2017 Energetski viri-SKUPAJ","2018 Trdna goriva","2018 Surova nafta","2018 Naftni proizvodi","2018 Zemeljski plin","2018 Nuklearna energija","2018 Hidro energija","2018 Geoterm., sončna itd.","2018 Obnovljivi viri in odpadki","2018 Električna energija","2018 Toplota","2018 Energetski viri-SKUPAJ","2019 Trdna goriva","2019 Surova nafta","2019 Naftni proizvodi","2019 Zemeljski plin","2019 Nuklearna energija","2019 Hidro energija","2019 Geoterm., sončna itd.","2019 Obnovljivi viri in odpadki","2019 Električna energija","2019 Toplota","2019 Energetski viri-SKUPAJ","2020 Trdna goriva","2020 Surova nafta","2020 Naftni proizvodi","2020 Zemeljski plin","2020 Nuklearna energija","2020 Hidro energija","2020 Geoterm., sončna itd.","2020 Obnovljivi viri in odpadki","2020 Električna energija","2020 Toplota","2020 Energetski viri-SKUPAJ"
"Transformacija-elektrarne-proizvajalci po glavni dejavnosti",-6833,-,-85,-34,-51938,-13134,0,0,32616,-,-39408,-6492,-,-954,-443,-57349,-12913,0,0,34459,-,-43692,-7440,-,-170,-307,-60305,-11333,0,0,33880,-,-45676,-7521,-,-170,-1159,-56804,-10159,0,0,31784,-,-44029,-6847,-,-85,-477,-59553,-13878,0,0,36032,-,-44807,-6791,-,-137,-368,-64189,-11653,0,0,35233,-,-47905,-7537,-,-188,-154,-60524,-12031,0,-21,34592,-,-45863,-7056,-,-209,-798,-62127,-10886,-1,-29,34186,-,-46919,-6801,-,-79,-180,-68433,-13529,-2,-515,38779,-,-50759,-7330,-,-156,-55,-62607,-16380,-4,-73,39676,-,-46929,-6012,-,-58,-59,-61712,-15667,-4,0,38793,-,-44720,-7595,-,-104,-85,-67797,-12372,-8,0,38009,-,-49953,-6435,-,-80,-102,-60305,-13584,-24,0,36517,-,-44013,-5637,-,-47,-56,-57814,-16068,-39,-9,38004,-,-41667,-1206,-,-103,-75,-69487,-21109,-39,-36,45539,-,-46516,-121,-,-50,-99,-61618,-13153,-50,-38,34594,-,-40534,-123,-,-50,-61,-62340,-15394,-48,-28,37045,-,-40998,-109,-,-51,-126,-68567,-13245,-49,-45,36947,-,-45244,-3367,-,-66,-97,-63016,-16139,-48,-65,37708,-,-45091,-3249,-,-18,-252,-63505,-15360,-49,-55,37195,-,-45294,-3165,-,-23,-501,-69303,-16979,-53,-73,41142,-,-48955
"Transformacija-elektrarne-samoproizvajalci",0,-,0,0,-,-346,0,0,346,-,-1,0,-,0,0,-,-360,0,0,360,-,0,0,-,0,0,-,-256,0,-50,274,-,-32,0,-,0,0,-,-205,0,-88,230,-,-63,0,-,0,0,-,-313,0,-91,342,-,-62,0,-,0,0,-,-245,0,-102,277,-,-70,0,-,0,0,-,-234,0,-98,266,-,-65,0,-,0,0,-,-234,-1,-96,270,-,-61,0,-,0,0,-,-288,-1,-110,324,-,-74,0,-,0,0,-,-356,-11,-121,400,-,-88,-78,-,0,0,-,-353,-42,-107,423,-,-156,-134,-,0,0,-,-285,-228,-89,534,-,-203,-102,-,0,0,-,-262,-566,-77,846,-,-161,-106,-,0,0,-,-329,-751,-73,1094,-,-165,-99,-,0,0,-,-396,-900,-70,1312,-,-154,-83,-,0,0,-,-274,-959,-55,1233,-,-138,-28,-,0,0,-,-312,-936,-36,1256,-,-55,0,-,0,0,-,-263,-993,-12,1260,-,-8,0,-,0,0,-,-310,-892,-9,1204,-,-6,-7,-,0,0,-,-295,-1064,-8,1361,-,-12,0,-,0,0,-,-299,-1295,-10,1598,-,-7
"Transformacija-elektrarne-male HE",-,-,-,-,-,-324,-,-,324,-,0,-,-,-,-,-,-392,-,-,392,-,0,-,-,-,-,-,-338,-,-,338,-,0,-,-,-,-,-,-284,-,-,284,-,0,-,-,-,-,-,-544,-,-,544,-,0,-,-,-,-,-,-562,-,-,562,-,0,-,-,-,-,-,-662,-,-,662,-,0,-,-,-,-,-,-637,-,-,637,-,0,-,-,-,-,-,-648,-,-,648,-,0,-,-,-,-,-,-238,-,-,238,-,0,-,-,-,-,-,-244,-,-,245,-,0,-,-,-,-,-,-166,-,-,166,-,0,-,-,-,-,-,-191,-,-,191,-,0,-,-,-,-,-,-269,-,-,269,-,0,-,-,-,-,-,-424,-,-,424,-,0,-,-,-,-,-,-279,-,-,279,-,0,-,-,-,-,-,-506,-,-,506,-,0,-,-,-,-,-,-419,-,-,419,-,0,-,-,-,-,-,-487,-,-,487,-,0,-,-,-,-,-,-471,-,-,471,-,0,-,-,-,-,-,-485,-,-,485,-,0
"Transformacija-termoelektrarne toplarne-skupaj",-46621,0,-407,-2556,0,0,0,-645,15761,6436,-28032,-50970,0,-397,-2249,0,0,0,-667,16870,6425,-30988,-53781,0,-397,-2147,0,0,0,-1004,18068,6183,-33078,-50003,0,-318,-1977,0,0,0,-1102,17456,6560,-29383,-51955,0,-238,-2147,0,0,0,-1142,18061,6753,-30668,-52289,0,-239,-2067,0,0,0,-1138,18353,7104,-30276,-53026,0,-264,-2643,0,0,0,-1101,18893,6992,-31148,-54486,0,-101,-2951,0,0,0,-1103,19062,6769,-32809,-53036,0,-96,-3817,0,0,0,-2554,19282,7267,-32955,-49043,0,-136,-5179,0,0,0,-2299,18738,7104,-30815,-51779,0,-53,-4633,0,0,0,-2606,19722,7662,-31689,-50763,0,-64,-4227,0,0,0,-3146,19104,7410,-31685,-48989,0,-34,-4541,0,0,0,-3116,19099,7178,-30403,-47912,0,-32,-4285,0,0,0,-3089,18604,7249,-29465,-40540,0,-247,-2764,0,0,0,-2921,15498,6371,-24602,-42128,0,-125,-3130,0,0,0,-3199,18254,7097,-23230,-45602,0,-67,-3213,0,0,0,-3260,20593,7446,-24102,-45344,0,-108,-3744,0,0,0,-3382,20149,7568,-24862,-40975,0,-126,-3773,0,0,0,-3223,19378,7746,-20973,-38638,0,-94,-4178,0,0,0,-3426,18931,7360,-20046,-37576,0,-85,-4397,0,0,0,-3613,18662,7463,-19546
"Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti",-46306,-,-67,0,-,-,-,0,14141,5505,-26727,-50634,-,-40,0,-,-,-,0,15343,5798,-29532,-53412,-,-79,-1193,-,-,-,-300,16916,6131,-31937,-49701,-,-79,-1193,-,-,-,-352,16297,6494,-28534,-51644,-,-79,-1193,-,-,-,-241,16758,6676,-29723,-51963,-,-69,-1215,-,-,-,-156,17075,6947,-29381,-52629,-,-97,-1884,-,-,-,-428,17784,6850,-30404,-53981,-,-69,-2084,-,-,-,-631,18007,6620,-32138,-52552,-,-76,-2942,-,-,-,-1999,18313,7131,-32124,-48643,-,-84,-4321,-,-,-,-1538,17690,6975,-29921,-51403,-,-52,-4002,-,-,-,-1845,18695,7527,-31080,-50481,-,-58,-3787,-,-,-,-2532,18232,7340,-31285,-48743,-,-32,-4048,-,-,-,-2530,18212,7102,-30039,-47665,-,-30,-3778,-,-,-,-2455,17727,7138,-29064,-40299,-,-246,-2178,-,-,-,-2300,14535,6267,-24222,-41877,-,-124,-2506,-,-,-,-2505,17288,6955,-22770,-45327,-,-61,-2627,-,-,-,-2621,19640,7304,-23692,-45047,-,-107,-3106,-,-,-,-2748,19194,7441,-24373,-40695,-,-117,-3142,-,-,-,-2718,18464,7643,-20565,-38365,-,-91,-3481,-,-,-,-2862,17995,7256,-19547,-37400,-,-84,-3550,-,-,-,-2977,17682,7344,-18985
"Transformacija-termoelektrarne toplarne-samoproizvajalci",-315,-,-340,-2556,-,-,-,-645,1620,931,-1305,-336,-,-357,-2249,-,-,-,-667,1526,627,-1456,-370,-,-318,-954,-,-,-,-704,1152,52,-1142,-302,-,-238,-784,-,-,-,-750,1159,66,-849,-311,-,-159,-954,-,-,-,-901,1303,77,-945,-326,-,-169,-852,-,-,-,-982,1278,157,-894,-396,-,-168,-759,-,-,-,-672,1109,142,-745,-505,-,-32,-866,-,-,-,-472,1055,149,-671,-484,-,-21,-875,-,-,-,-556,968,136,-831,-399,-,-52,-858,-,-,-,-762,1048,129,-895,-376,-,-1,-631,-,-,-,-762,1027,135,-609,-282,-,-6,-440,-,-,-,-614,873,70,-400,-246,-,-3,-493,-,-,-,-586,887,76,-364,-247,-,-2,-506,-,-,-,-634,877,112,-402,-240,-,-1,-585,-,-,-,-621,963,105,-380,-250,-,-2,-623,-,-,-,-693,967,142,-460,-274,-,-6,-586,-,-,-,-639,952,142,-411,-297,-,-1,-639,-,-,-,-634,955,128,-489,-280,-,-9,-631,-,-,-,-505,914,102,-408,-274,-,-3,-698,-,-,-,-565,937,104,-498,-176,-,-1,-847,-,-,-,-636,980,119,-561
"Transformacija-toplarne",0,-,-182,-2999,-,-,0,-341,-,2953,-569,0,-,-130,-2795,-,-,0,-353,-,2962,-315,0,-,-128,-2863,-,-,0,-345,-,2705,-631,0,-,-168,-2999,-,-,0,-366,-,3005,-528,-18,-,-210,-2658,-,-,0,-454,-,2968,-372,-18,-,-212,-3195,-,-,0,-317,-,3000,-742,-19,-,-321,-2458,-,-,0,-318,-,2623,-494,-18,-,-156,-1917,-,-,0,-200,-,2029,-262,-20,-,-148,-1831,-,-,0,-263,-,2062,-199,0,-,-257,-1666,-,-,0,-236,-,1989,-171,0,-,-207,-1874,-,-,-83,-269,-,2120,-313,0,-,-164,-2063,-,-,-72,-347,-,2309,-337,0,-,-229,-1897,-,-,-84,-416,-,2321,-305,0,-,-250,-1677,-,-,-78,-383,-,2179,-209,-66,-,-244,-1368,-,-,-62,-287,-,1812,-215,-283,-,-150,-886,-,-,-65,-426,-,1588,-223,-113,-,-176,-943,-,-,-46,-437,-,1553,-162,-130,-,-199,-1243,-,-,-45,-522,-,1883,-256,-54,-,-161,-1180,-,-,-39,-536,-,1570,-400,-32,-,-126,-1319,-,-,-39,-596,-,1784,-329,-56,-,-82,-1277,-,-,-38,-581,-,1710,-324
"Transformacija-plinarne",-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
"Transformacija-rafinerije",-,-7406,6906,0,-,-,-,-,-,-,-500,-,-249,0,0,-,-,-,-,-,-,-249,-,-235,0,0,-,-,-,-,-,-,-235,-,0,0,0,-,-,-,-,-,-,0,-,0,0,0,-,-,-,-,-,-,0,-,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
"Transformacija-predelava premoga",-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
"Transformacija-utekočinjanje",-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
"Lastna raba in izgube",-,-79,-,-,-,-,-,-,-5900,-1208,-7187,-,0,-,-,-,-,-,-,-5774,-1129,-6903,-,-4,-,-,-,-,-,-,-5918,-1153,-7075,-,0,-,-,-,-,-,-,-6426,-1600,-8026,-,0,-,-,-,-,-,-,-6610,-1475,-8085,-,0,-,-,-,-,-,-,-6919,-1836,-8755,-,-,-,-,-,-,-,-,-6700,-1598,-8297,-,-,-,-,-,-,-,-,-6959,-1618,-8577,-,-,-,-,-,-,-,-,-6671,-1517,-8188,-,-,-,-,-,-,-,-,-6912,-1480,-8392,-,-,-,-,-,-,-,-,-8124,-1662,-9786,-,-,-,-,-,-,-,-,-7471,-1678,-9149,-,-,-,-,-,-,-,-,-7766,-1780,-9546,-,-,-,-,-,-,-,-,-8016,-1685,-9701,-,-,-,-,-,-,-,-,-7684,-1673,-9357,-,-,-,-,-,-,-,-,-7768,-1519,-9287,-,-,-,-,-,-,-,-,-7929,-1608,-9537,-,-,-,-,-,-,-,-,-7877,-1776,-9653,-,-,-,-,-,-,-,-,-7262,-1882,-9143,-,-,-,-,-,-,-,-,-7219,-1886,-9106,-,-,-,-,-,-,-,-,-7706,-1973,-9679
"Končna poraba",3383,0,94119,28968,0,0,222,22725,38390,8181,195988,2797,0,97520,30093,0,0,229,26219,39928,8258,205043,4419,0,95487,29002,0,0,234,21452,42563,7735,200892,4760,0,97043,31831,0,0,241,24201,43920,7965,209959,4506,0,100086,32342,0,0,263,23870,45648,8246,214960,4445,0,102128,33270,0,0,306,28607,46339,8268,223364,4212,0,104591,32397,0,0,350,25308,47873,8017,222749,4305,0,103336,32625,0,0,407,28411,48017,7179,224281,3600,0,120200,30948,0,0,483,27923,46602,7811,237567,2546,0,104289,27898,0,0,596,27145,41126,7613,211212,2241,0,102608,29538,0,0,1437,28669,43425,8119,216038,2446,0,104441,24520,0,0,1555,28063,45402,8042,214468,2334,0,102257,23175,0,0,1650,27678,45147,7719,209959,2234,0,95175,22946,0,0,1833,29231,45315,7744,204477,2201,0,92618,21990,0,0,1924,25814,45215,6510,196272,1963,0,92179,23694,0,0,2101,27583,46418,7166,201104,1782,0,96797,25273,0,0,2353,27229,47235,7391,208062,1917,0,97669,25808,0,0,2541,26542,49041,7675,211193,2039,0,98104,25288,0,0,2599,26274,49708,7434,211446,1973,0,94057,24985,0,0,2684,26403,49592,7257,206951,1480,0,79308,24615,0,0,2991,25367,46969,7200,187931
"Končna poraba-Energetski sektor",0,-,0,239,-,-,0,0,511,0,750,0,-,0,204,-,-,0,0,590,0,795,0,-,0,204,-,-,0,0,482,0,687,0,-,0,170,-,-,0,0,497,44,711,0,-,0,170,-,-,0,0,475,85,731,0,-,0,148,-,-,0,0,464,74,686,0,-,0,142,-,-,0,0,479,92,713,0,-,0,132,-,-,0,0,511,116,759,0,-,7,115,-,-,0,0,500,90,713,0,-,0,109,-,-,0,0,468,100,677,0,-,11,256,-,-,0,0,424,89,779,0,-,7,104,-,-,0,0,404,66,581,0,-,22,78,-,-,0,0,402,75,576,0,-,18,127,-,-,0,0,389,83,617,0,-,14,110,-,-,0,0,359,65,548,0,-,13,121,-,-,0,0,385,81,599,0,-,14,20,-,-,0,0,341,85,460,0,-,14,34,-,-,0,0,334,94,476,0,-,31,35,-,-,0,0,344,89,499,0,-,29,38,-,-,0,0,347,67,480,0,-,32,31,-,-,0,0,345,64,472
"Končna poraba-Predelovalne dejavnosti in gradbeništvo",3181,-,11774,20584,-,-,0,3128,19764,0,58432,2129,-,9139,19187,-,-,0,2679,20333,0,53467,3963,-,6073,18028,-,-,0,2935,20844,0,51843,3460,-,8693,20891,-,-,0,4402,23555,2417,63417,3262,-,8530,21402,-,-,0,4746,24156,2221,64317,3350,-,9303,22646,-,-,0,5250,25819,2592,68960,3309,-,10912,23028,-,-,0,4621,26784,2444,71099,3436,-,7461,22963,-,-,0,3975,26885,2603,67322,3381,-,7446,22031,-,-,0,3724,22720,2868,62169,2311,-,6366,18802,-,-,0,3347,17878,2364,51067,1965,-,5230,20226,-,-,0,3783,19754,2249,53206,2212,-,4711,17814,-,-,0,3370,21110,2442,51659,2110,-,4321,17428,-,-,0,2933,21318,2290,50401,1980,-,4792,16481,-,-,0,3443,21161,2171,50028,1885,-,4535,16398,-,-,0,4761,21806,2032,51417,1647,-,3923,16843,-,-,0,4612,22315,2057,51396,1503,-,3830,17392,-,-,0,4587,22445,2129,51887,1584,-,3936,18364,-,-,0,4893,23206,2151,54135,1693,-,4078,19132,-,-,0,4901,23396,1920,55120,1666,-,3915,18920,-,-,0,5294,23370,2146,55310,1184,-,4046,18769,-,-,0,5074,21504,2127,52705
"Končna poraba-Promet",0,-,50588,0,-,-,-,0,954,-,51542,6,-,52771,0,-,-,-,0,922,-,53699,4,-,54293,0,-,-,-,0,619,-,54916,3,-,54905,0,-,-,-,0,634,-,55542,3,-,56965,0,-,-,-,0,680,-,57648,3,-,60793,0,-,-,-,0,709,-,61505,5,-,64148,0,-,-,-,83,713,-,64949,4,-,72423,0,-,-,-,578,702,-,73707,5,-,84986,0,-,-,-,1031,706,-,86728,6,-,73331,0,-,-,-,1273,562,-,75172,4,-,72491,0,-,-,-,1915,621,-,75031,0,-,78283,0,-,-,-,1518,592,-,80393,0,-,79074,29,-,-,-,2177,572,-,81851,3,-,73684,34,-,-,-,2508,553,-,76782,5,-,73739,49,-,-,-,1857,490,-,76141,6,-,73442,89,-,-,-,1252,546,-,75335,7,-,78163,118,-,-,-,784,597,-,79668,9,-,80037,137,-,-,-,1049,838,-,82069,7,-,80067,140,-,-,-,3089,839,-,84142,4,-,76792,185,-,-,-,3981,832,-,81793,0,-,61878,146,-,-,-,3906,755,-,66685
"Končna poraba-Gospodinjstva",201,-,16116,2454,-,-,222,19524,9364,3952,51833,551,-,15222,2590,-,-,229,23412,9630,4343,55977,321,-,18150,2863,-,-,234,18393,9734,4060,53755,177,-,19939,3612,-,-,241,19724,10829,4185,58707,0,-,18892,3817,-,-,263,19030,10843,4462,57307,0,-,16769,4126,-,-,306,23254,10624,4553,59632,0,-,15790,3912,-,-,350,20545,10998,4216,55811,0,-,11972,3572,-,-,407,23786,10876,3888,54501,0,-,13199,4282,-,-,483,23087,11455,4168,56674,90,-,12410,4441,-,-,596,22437,11293,4022,55289,50,-,12913,4762,-,-,709,22864,11589,4245,57132,34,-,10564,4742,-,-,827,23074,11560,3742,54543,24,-,9221,4907,-,-,1081,22468,11445,3433,52579,17,-,7644,4790,-,-,1261,23197,11623,3410,51942,9,-,6224,3708,-,-,1301,19124,11252,2798,44415,8,-,6443,4333,-,-,1637,21656,11538,3211,48826,6,-,5991,4813,-,-,1865,21805,11736,3435,49650,4,-,5610,4984,-,-,1964,20567,11977,3308,48413,3,-,5214,4644,-,-,2039,18243,12124,3138,45406,2,-,5238,4427,-,-,2102,17101,12308,3094,44273,2,-,5560,4421,-,-,2409,16283,13083,3141,44899
"Končna poraba-Kmetijstvo in gozdarstvo",0,-,3244,0,-,-,0,0,0,0,3244,0,-,3201,0,-,-,0,0,0,0,3201,0,-,3159,0,-,-,0,0,0,0,3159,0,-,3286,0,-,-,0,0,0,0,3286,0,-,3072,0,-,-,0,0,0,0,3072,0,-,3115,0,-,-,0,0,0,0,3115,0,-,3157,0,-,-,0,0,0,0,3157,0,-,3115,0,-,-,0,0,0,0,3115,0,-,3200,0,-,-,0,0,0,0,3200,0,-,2774,0,-,-,0,0,0,0,2774,0,-,2817,0,-,-,95,0,0,0,2912,0,-,2731,0,-,-,95,0,0,0,2826,0,-,2859,0,-,-,114,0,0,0,2973,0,-,2817,0,-,-,114,0,0,0,2931,0,-,2987,0,-,-,164,0,0,0,3151,0,-,2961,0,-,-,117,0,0,0,3078,0,-,2946,0,-,-,128,0,0,0,3074,0,-,2945,0,-,-,108,0,0,0,3053,0,-,2948,0,-,-,112,0,61,0,3120,0,-,2917,0,-,-,88,0,62,0,3067,0,-,2854,0,-,-,88,0,66,0,3009
"Končna poraba-Drugi porabniki",0,-,12170,784,-,-,0,73,7798,4229,25053,2,-,16956,3340,-,-,0,128,8453,3915,32794,0,-,13608,3817,-,-,0,124,10883,3675,32107,0,-,9864,2011,-,-,0,75,8406,1319,21674,0,-,10250,2317,-,-,0,94,9493,1478,23633,0,-,9728,1081,-,-,0,103,8723,1049,20684,0,-,8328,581,-,-,0,58,8899,1265,19132,0,-,6228,486,-,-,0,72,9043,572,16401,0,-,9231,493,-,-,0,81,11221,685,21711,0,-,8778,759,-,-,0,87,10926,1127,21677,0,-,8205,989,-,-,633,108,11038,1536,22508,0,-,6716,1651,-,-,633,101,11736,1791,22628,0,-,5305,553,-,-,455,100,11410,1921,19744,0,-,4813,1334,-,-,458,83,11589,2079,20355,0,-,3690,1537,-,-,459,72,11308,1614,18681,0,-,3917,2099,-,-,347,64,11634,1817,19878,0,-,4350,2702,-,-,360,53,12117,1742,21323,0,-,3549,2063,-,-,469,34,12686,2122,20923,0,-,4104,1099,-,-,449,41,12944,2287,20923,0,-,3846,1178,-,-,494,28,12674,1951,20171,0,-,3906,1025,-,-,494,104,11216,1869,18614
