"POSTAVKA","1996 Elektrarne po glavni dejavnosti","1996 Samoproizvajalci","1996 Male zasebne hidroelektrarne","1996 Skupaj","1997 Elektrarne po glavni dejavnosti","1997 Samoproizvajalci","1997 Male zasebne hidroelektrarne","1997 Skupaj","1998 Elektrarne po glavni dejavnosti","1998 Samoproizvajalci","1998 Male zasebne hidroelektrarne","1998 Skupaj","1999 Elektrarne po glavni dejavnosti","1999 Samoproizvajalci","1999 Male zasebne hidroelektrarne","1999 Skupaj","2000 Elektrarne po glavni dejavnosti","2000 Samoproizvajalci","2000 Male zasebne hidroelektrarne","2000 Skupaj","2001 Elektrarne po glavni dejavnosti","2001 Samoproizvajalci","2001 Male zasebne hidroelektrarne","2001 Skupaj","2002 Elektrarne po glavni dejavnosti","2002 Samoproizvajalci","2002 Male zasebne hidroelektrarne","2002 Skupaj","2003 Elektrarne po glavni dejavnosti","2003 Samoproizvajalci","2003 Male zasebne hidroelektrarne","2003 Skupaj","2004 Elektrarne po glavni dejavnosti","2004 Samoproizvajalci","2004 Male zasebne hidroelektrarne","2004 Skupaj","2005 Elektrarne po glavni dejavnosti","2005 Samoproizvajalci","2005 Male zasebne hidroelektrarne","2005 Skupaj","2006 Elektrarne po glavni dejavnosti","2006 Samoproizvajalci","2006 Male zasebne hidroelektrarne","2006 Skupaj","2007 Elektrarne po glavni dejavnosti","2007 Samoproizvajalci","2007 Male zasebne hidroelektrarne","2007 Skupaj","2008 Elektrarne po glavni dejavnosti","2008 Samoproizvajalci","2008 Male zasebne hidroelektrarne","2008 Skupaj","2009 Elektrarne po glavni dejavnosti","2009 Samoproizvajalci","2009 Male zasebne hidroelektrarne","2009 Skupaj","2010 Elektrarne po glavni dejavnosti","2010 Samoproizvajalci","2010 Male zasebne hidroelektrarne","2010 Skupaj","2011 Elektrarne po glavni dejavnosti","2011 Samoproizvajalci","2011 Male zasebne hidroelektrarne","2011 Skupaj","2012 Elektrarne po glavni dejavnosti","2012 Samoproizvajalci","2012 Male zasebne hidroelektrarne","2012 Skupaj","2013 Elektrarne po glavni dejavnosti","2013 Samoproizvajalci","2013 Male zasebne hidroelektrarne","2013 Skupaj","2014 Elektrarne po glavni dejavnosti","2014 Samoproizvajalci","2014 Male zasebne hidroelektrarne","2014 Skupaj","2015 Elektrarne po glavni dejavnosti","2015 Samoproizvajalci","2015 Male zasebne hidroelektrarne","2015 Skupaj","2016 Elektrarne po glavni dejavnosti","2016 Samoproizvajalci","2016 Male zasebne hidroelektrarne","2016 Skupaj","2017 Elektrarne po glavni dejavnosti","2017 Samoproizvajalci","2017 Male zasebne hidroelektrarne","2017 Skupaj","2018 Elektrarne po glavni dejavnosti","2018 Samoproizvajalci","2018 Male zasebne hidroelektrarne","2018 Skupaj","2019 Elektrarne po glavni dejavnosti","2019 Samoproizvajalci","2019 Male zasebne hidroelektrarne","2019 Skupaj","2020 Elektrarne po glavni dejavnosti","2020 Samoproizvajalci","2020 Male zasebne hidroelektrarne","2020 Skupaj"
"Proizvodnja na pragu-hidroelektrarne do 1 MW (GWh)",0.000,0.000,87.000,87.000,0.000,0.000,72.000,72.000,0.000,0.000,99.000,99.000,0.000,0.000,92.000,92.000,54.000,24.000,89.000,167.000,62.000,25.000,108.000,195.000,51.000,19.000,93.000,163.000,45.000,16.000,78.000,139.000,64.000,21.000,150.000,235.000,58.000,20.000,156.000,234.000,62.000,27.000,183.000,272.000,58.000,24.000,176.000,258.000,67.000,16.000,179.000,262.000,67.000,26.000,65.000,158.000,74.000,38.000,68.000,180.000,55.000,29.000,46.000,130.000,56.000,32.000,53.000,141.000,72.000,38.000,74.000,184.000,85.000,41.000,117.000,243.000,64.000,32.000,77.000,173.000,70.000,35.000,140.000,245.000,56.098,28.817,115.686,200.601,62.768,33.900,134.523,231.191,67.878,33.545,130.211,231.634,65.900,33.349,134.038,233.287
"Proizvodnja na pragu-hidroelektrarne od 1 do 10 MW (GWh)",0.000,0.000,-,0.000,0.000,0.000,-,0.000,0.000,0.000,-,0.000,0.000,0.000,-,0.000,97.000,72.000,-,169.000,98.000,75.000,-,173.000,109.000,51.000,-,160.000,85.000,40.000,-,125.000,131.000,66.000,-,197.000,97.000,48.000,-,145.000,111.000,38.000,-,149.000,107.000,40.000,-,147.000,128.000,63.000,-,191.000,145.000,71.000,-,216.000,152.000,60.000,-,212.000,112.000,50.000,-,162.000,119.000,40.000,-,159.000,138.000,53.000,-,191.000,180.000,68.000,-,248.000,107.000,44.000,-,151.000,131.000,52.000,-,183.000,116.395,44.002,-,160.397,126.679,52.048,-,178.727,118.232,48.001,-,166.233,130.330,49.296,-,179.626
"Proizvodnja na pragu-hidroelektrarne nad 10 MW (GWh)",0.000,-,-,0.000,0.000,-,-,0.000,0.000,-,-,0.000,0.000,-,-,0.000,3435.000,-,-,3435.000,3374.000,-,-,3374.000,2941.000,-,-,2941.000,2653.000,-,-,2653.000,3601.000,-,-,3601.000,3028.000,-,-,3028.000,3115.000,-,-,3115.000,2809.000,-,-,2809.000,3506.000,-,-,3506.000,4269.000,-,-,4269.000,4244.000,-,-,4244.000,3357.000,-,-,3357.000,3727.000,-,-,3727.000,4480.000,-,-,4480.000,5793.000,-,-,5793.000,3708.000,-,-,3708.000,4293.000,-,-,4293.000,3724.017,-,-,3724.017,4420.858,-,-,4420.858,4224.224,-,-,4224.224,4746.255,-,-,4746.255
"Proizvodnja na pragu-termoelektrarne (GWh)",3723.000,275.000,-,3998.000,4207.000,310.000,-,4517.000,4362.000,305.000,-,4667.000,3913.000,375.000,-,4288.000,4067.000,408.000,-,4475.000,4418.000,397.000,-,4815.000,4818.000,302.000,-,5120.000,4713.000,304.000,-,5017.000,4732.000,330.000,-,5062.000,4792.000,337.000,-,5129.000,5002.000,289.000,-,5291.000,5124.000,276.000,-,5400.000,5172.000,253.000,-,5425.000,5007.000,261.000,-,5268.000,5126.000,254.000,-,5380.000,5168.000,217.000,-,5385.000,5050.000,221.000,-,5271.000,4793.000,214.000,-,5007.000,3636.000,244.000,-,3880.000,4263.000,240.000,-,4503.000,4881.000,240.000,-,5121.000,4815.284,239.355,-,5054.639,4633.664,227.199,-,4860.864,4526.766,233.896,-,4760.662,4467.077,248.215,-,4715.292
"Proizvodnja na pragu-jedrska elektrarna (GWh)",4359.000,-,-,4359.000,4785.000,-,-,4785.000,4787.000,-,-,4787.000,4484.000,-,-,4484.000,4549.000,-,-,4549.000,5036.000,-,-,5036.000,5309.000,-,-,5309.000,4963.000,-,-,4963.000,5212.000,-,-,5212.000,5614.000,-,-,5614.000,5290.000,-,-,5290.000,5428.000,-,-,5428.000,5972.000,-,-,5972.000,5460.000,-,-,5460.000,5381.000,-,-,5381.000,5902.000,-,-,5902.000,5244.000,-,-,5244.000,5036.000,-,-,5036.000,6061.000,-,-,6061.000,5372.000,-,-,5372.000,5431.000,-,-,5431.000,5967.827,-,-,5967.827,5489.908,-,-,5489.908,5532.981,-,-,5532.981,6040.846,-,-,6040.846
"Proizvodnja na pragu-sončne elektrarne (GWh)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000,0.000,-,0.000,1.000,3.000,-,4.000,1.000,12.000,-,13.000,2.000,63.000,-,65.000,5.000,157.000,-,162.000,6.000,209.000,-,215.000,7.000,250.000,-,257.000,8.000,266.000,-,274.000,7.000,260.000,-,267.000,7.781,275.897,-,283.678,6.677,247.725,-,254.402,7.018,295.452,-,302.470,8.288,359.829,-,368.117
"Proizvodnja na pragu-vetrne elektrarne (GWh)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000,-,-,0.000,0.000,-,-,0.000,0.000,-,-,0.000,1.000,-,-,1.000,4.000,-,-,4.000,4.000,-,-,4.000,6.000,-,-,6.000,6.000,-,-,6.000,5.716,-,-,5.716,6.021,-,-,6.021,6.150,-,-,6.150,6.251,-,-,6.251
"Dejanska moč-SKUPAJ (MW)",2391.000,101.000,0.000,2492.000,2391.000,93.000,0.000,2484.000,2391.000,92.000,0.000,2483.000,2413.000,99.000,71.000,2583.000,2445.000,115.000,71.000,2631.000,2691.000,118.000,90.000,2899.000,2757.000,96.000,90.000,2943.000,2783.000,95.000,90.000,2968.000,2782.000,93.000,90.000,2965.000,2810.000,92.000,90.000,2992.000,2858.000,90.000,90.000,3038.000,2861.000,74.000,100.000,3035.000,2814.000,75.000,100.000,2989.000,2863.000,87.000,100.000,3050.000,3009.000,83.000,100.000,3192.000,3040.000,128.000,100.000,3268.000,3060.000,193.000,100.000,3353.000,3093.000,239.000,100.000,3432.000,3068.000,284.000,100.000,3452.000,2962.000,295.000,100.000,3357.000,3147.000,288.000,100.000,3535.000,3214.770,302.012,100.000,3616.782,3393.264,278.402,100.000,3796.175,3396.546,330.529,104.893,3831.968,3394.650,422.367,106.938,3923.955
"Dejanska moč-hidroelektrarne (MW)",746.000,16.000,0.000,762.000,746.000,15.000,0.000,761.000,746.000,16.000,0.000,762.000,768.000,16.000,71.000,855.000,770.000,19.000,71.000,860.000,797.000,19.000,90.000,906.000,844.000,15.000,90.000,949.000,868.000,15.000,90.000,973.000,869.000,15.000,90.000,974.000,875.000,14.000,90.000,979.000,905.000,14.000,90.000,1009.000,906.000,12.000,100.000,1018.000,913.000,14.000,100.000,1027.000,954.000,16.000,100.000,1070.000,1138.000,16.000,100.000,1254.000,1137.000,16.000,100.000,1253.000,1138.000,16.000,100.000,1254.000,1183.000,16.000,100.000,1299.000,1179.000,16.000,100.000,1295.000,1179.000,16.000,100.000,1295.000,1177.000,16.000,100.000,1293.000,1230.926,15.703,100.000,1346.629,1227.716,15.709,100.000,1343.425,1230.090,15.733,104.893,1350.716,1224.818,14.652,106.938,1346.408
"Dejanska moč-hidroelektrarne do 1 MW (MW)",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,71.000,71.000,14.000,4.000,71.000,89.000,12.000,4.000,90.000,106.000,12.000,4.000,90.000,106.000,11.000,4.000,90.000,105.000,12.000,4.000,90.000,106.000,14.000,4.000,90.000,108.000,14.000,4.000,90.000,108.000,14.000,3.000,100.000,117.000,14.000,4.000,100.000,118.000,13.000,5.000,100.000,118.000,14.000,4.000,100.000,118.000,13.000,4.000,100.000,117.000,14.000,5.000,100.000,119.000,15.000,5.000,100.000,120.000,14.000,5.000,100.000,119.000,14.000,5.000,100.000,119.000,13.000,5.000,100.000,118.000,13.419,4.963,100.000,118.382,13.780,4.969,100.000,118.749,14.564,6.343,104.893,125.800,14.800,5.262,106.938,127.000
"Dejanska moč-hidroelektrarne od 1 do 10 MW (MW)",0.000,0.000,-,0.000,0.000,0.000,-,0.000,0.000,0.000,-,0.000,0.000,0.000,-,0.000,23.000,15.000,-,38.000,26.000,14.000,-,40.000,29.000,11.000,-,40.000,25.000,11.000,-,36.000,26.000,11.000,-,37.000,26.000,11.000,-,37.000,26.000,11.000,-,37.000,25.000,8.000,-,33.000,26.000,11.000,-,37.000,29.000,12.000,-,41.000,30.000,12.000,-,42.000,30.000,12.000,-,42.000,30.000,11.000,-,41.000,30.000,11.000,-,41.000,27.000,11.000,-,38.000,27.000,11.000,-,38.000,26.000,11.000,-,37.000,25.507,10.740,-,36.247,25.636,10.740,-,36.376,27.271,9.390,-,36.661,27.218,9.390,-,36.608
"Dejanska moč-hidroelektrarne nad 10 MW (MW)",0.000,-,-,0.000,0.000,-,-,0.000,0.000,-,-,0.000,0.000,-,-,0.000,733.000,-,-,733.000,759.000,-,-,759.000,803.000,-,-,803.000,863.000,-,-,863.000,831.000,-,-,831.000,836.000,-,-,836.000,866.000,-,-,866.000,867.000,-,-,867.000,873.000,-,-,873.000,912.000,-,-,912.000,1094.000,-,-,1094.000,1094.000,-,-,1094.000,1094.000,-,-,1094.000,1138.000,-,-,1138.000,1138.000,-,-,1138.000,1138.000,-,-,1138.000,1138.000,-,-,1138.000,1192.000,-,-,1192.000,1188.300,-,-,1188.300,1188.255,-,-,1188.255,1182.800,-,-,1182.800
"Dejanska moč-termoelektrarne (MW)",1013.000,85.000,-,1098.000,1013.000,78.000,-,1091.000,1013.000,76.000,-,1089.000,1013.000,83.000,-,1096.000,1019.000,96.000,-,1115.000,1238.000,99.000,-,1337.000,1257.000,81.000,-,1338.000,1260.000,80.000,-,1340.000,1257.000,78.000,-,1335.000,1279.000,78.000,-,1357.000,1287.000,76.000,-,1363.000,1289.000,62.000,-,1351.000,1235.000,61.000,-,1296.000,1242.000,68.000,-,1310.000,1204.000,57.000,-,1261.000,1213.000,57.000,-,1270.000,1227.000,40.000,-,1267.000,1214.000,42.000,-,1256.000,1192.000,50.000,-,1242.000,1085.000,47.000,-,1132.000,1273.000,46.000,-,1319.000,1285.774,46.279,-,1332.053,1467.478,47.172,-,1514.650,1467.816,44.259,-,1512.075,1470.529,45.938,-,1516.467
"Dejanska moč-jedrska elektrarna (MW)",632.000,-,-,632.000,632.000,-,-,632.000,632.000,-,-,632.000,632.000,-,-,632.000,656.000,-,-,656.000,656.000,-,-,656.000,656.000,-,-,656.000,656.000,-,-,656.000,656.000,-,-,656.000,656.000,-,-,656.000,666.000,-,-,666.000,666.000,-,-,666.000,666.000,-,-,666.000,666.000,-,-,666.000,666.000,-,-,666.000,688.000,-,-,688.000,688.000,-,-,688.000,688.000,-,-,688.000,688.000,-,-,688.000,688.000,-,-,688.000,688.000,-,-,688.000,688.000,-,-,688.000,688.000,-,-,688.000,688.000,-,-,688.000,688.000,-,-,688.000
"Dejanska moč-sončne elektrarne (MW)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000,0.000,-,0.000,1.000,3.000,-,4.000,1.000,10.000,-,11.000,2.000,55.000,-,57.000,5.000,137.000,-,142.000,6.000,181.000,-,187.000,6.000,218.000,-,224.000,7.000,232.000,-,239.000,6.000,226.000,-,232.000,6.770,240.030,-,246.800,6.770,240.030,-,246.800,7.340,270.537,-,277.877,8.003,361.777,-,369.780
"Dejanska moč-vetrne elektrarne (MW)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000,-,-,0.000,0.000,-,-,0.000,0.000,-,-,0.000,2.000,-,-,2.000,2.000,-,-,2.000,3.000,-,-,3.000,3.000,-,-,3.000,3.000,-,-,3.000,3.300,-,-,3.300,3.300,-,-,3.300,3.300,-,-,3.300,3.300,-,-,3.300
